,Country/Region,Lat,Long,date,date_confirmed_cases
284,Nicaragua,12.865416,-85.207229,1/23/20,0.0
285,Niger,17.607789,8.081666,1/23/20,0.0
286,Nigeria,9.082,8.6753,1/23/20,0.0
287,North Macedonia,41.6086,21.7453,1/23/20,0.0
288,Norway,60.472,8.4689,1/23/20,0.0
289,Oman,21.512583,55.92325500000001,1/23/20,0.0
290,Pakistan,30.3753,69.3451,1/23/20,0.0
291,Panama,8.538,-80.7821,1/23/20,0.0
292,Paraguay,-23.4425,-58.4438,1/23/20,0.0
293,Peru,-9.19,-75.0152,1/23/20,0.0
294,Philippines,12.879721,121.77401699999999,1/23/20,0.0
295,Poland,51.9194,19.1451,1/23/20,0.0
296,Portugal,39.3999,-8.2245,1/23/20,0.0
297,Qatar,25.3548,51.1839,1/23/20,0.0
298,Romania,45.9432,24.9668,1/23/20,0.0
299,Russia,61.52401,105.31875600000001,1/23/20,0.0
300,Rwanda,-1.9403,29.8739,1/23/20,0.0
301,San Marino,43.9424,12.4578,1/23/20,0.0
302,Sao Tome and Principe,0.1864,6.6131,1/23/20,0.0
303,Saudi Arabia,23.885942,45.079162,1/23/20,0.0
304,Senegal,14.4974,-14.4524,1/23/20,0.0
305,Serbia,44.0165,21.0059,1/23/20,0.0
306,Seychelles,-4.6796,55.492,1/23/20,0.0
307,Sierra Leone,8.460555000000001,-11.779889,1/23/20,0.0
308,Singapore,1.2833,103.8333,1/23/20,1.0
309,Slovakia,48.669,19.699,1/23/20,0.0
310,Slovenia,46.1512,14.9955,1/23/20,0.0
311,Somalia,5.152149,46.199616,1/23/20,0.0
312,South Africa,-30.5595,22.9375,1/23/20,0.0
313,South Sudan,6.8770000000000024,31.307,1/23/20,0.0
314,Spain,40.463667,-3.7492199999999998,1/23/20,0.0
315,Sri Lanka,7.873054,80.77179699999998,1/23/20,0.0
316,Sudan,12.8628,30.2176,1/23/20,0.0
317,Suriname,3.9193,-56.0278,1/23/20,0.0
318,Sweden,60.128161,18.643501,1/23/20,0.0
319,Switzerland,46.8182,8.2275,1/23/20,0.0
320,Syria,34.802075,38.99681500000001,1/23/20,0.0
321,Taiwan*,23.7,121.0,1/23/20,1.0
322,Tajikistan,38.861,71.2761,1/23/20,0.0
323,Tanzania,-6.369028,34.888822,1/23/20,0.0
324,Thailand,15.870032,100.992541,1/23/20,3.0
325,Togo,8.6195,0.8248,1/23/20,0.0
326,Trinidad and Tobago,10.6918,-61.2225,1/23/20,0.0
327,Tunisia,33.886917,9.537499,1/23/20,0.0
328,Turkey,38.9637,35.2433,1/23/20,0.0
329,US,40.0,-100.0,1/23/20,1.0
330,Uganda,1.373333,32.290275,1/23/20,0.0
331,Ukraine,48.3794,31.1656,1/23/20,0.0
332,United Arab Emirates,23.424076,53.847818000000004,1/23/20,0.0
333,United Kingdom,24.548172545454545,-43.90224236363636,1/23/20,0.0
334,Uruguay,-32.5228,-55.7658,1/23/20,0.0
335,Uzbekistan,41.377491,64.585262,1/23/20,0.0
336,Venezuela,6.4238,-66.5897,1/23/20,0.0
337,Vietnam,14.058323999999999,108.277199,1/23/20,2.0
338,West Bank and Gaza,31.9522,35.2332,1/23/20,0.0
339,Yemen,15.552726999999999,48.516388,1/23/20,0.0
340,Zambia,-13.133897,27.849332,1/23/20,0.0
341,Zimbabwe,-19.015438,29.154857,1/23/20,0.0
342,Afghanistan,33.93911,67.709953,1/24/20,0.0
343,Albania,41.1533,20.1683,1/24/20,0.0
344,Algeria,28.0339,1.6596,1/24/20,0.0
345,Andorra,42.5063,1.5218,1/24/20,0.0
346,Angola,-11.2027,17.8739,1/24/20,0.0
347,Argentina,-38.4161,-63.6167,1/24/20,0.0
348,Armenia,40.0691,45.0382,1/24/20,0.0
349,Australia,-32.106275000000004,141.35548749999998,1/24/20,0.0
350,Austria,47.5162,14.5501,1/24/20,0.0
351,Azerbaijan,40.1431,47.5769,1/24/20,0.0
352,Bahamas,25.025885,-78.035889,1/24/20,0.0
353,Bahrain,26.0275,50.55,1/24/20,0.0
354,Bangladesh,23.685,90.3563,1/24/20,0.0
355,Barbados,13.1939,-59.5432,1/24/20,0.0
356,Belarus,53.7098,27.9534,1/24/20,0.0
357,Belgium,50.8333,4.469936,1/24/20,0.0
358,Benin,9.3077,2.3158,1/24/20,0.0
359,Bolivia,-16.2902,-63.5887,1/24/20,0.0
360,Bosnia and Herzegovina,43.9159,17.6791,1/24/20,0.0
361,Botswana,-22.3285,24.6849,1/24/20,0.0
362,Brazil,-14.235,-51.9253,1/24/20,0.0
363,Brunei,4.5353,114.7277,1/24/20,0.0
364,Bulgaria,42.7339,25.4858,1/24/20,0.0
365,Burkina Faso,12.2383,-1.5616,1/24/20,0.0
366,Burma,21.9162,95.956,1/24/20,0.0
367,Burundi,-3.3731,29.9189,1/24/20,0.0
368,Cabo Verde,16.5388,-23.0418,1/24/20,0.0
369,Cambodia,11.55,104.9167,1/24/20,0.0
370,Cameroon,3.8480000000000003,11.5021,1/24/20,0.0
371,Canada,45.61112857142857,-79.96359285714286,1/24/20,0.0
372,Central African Republic,6.6111,20.9394,1/24/20,0.0
373,Chad,15.4542,18.7322,1/24/20,0.0
374,Chile,-35.6751,-71.543,1/24/20,0.0
375,China,32.887645454545456,111.78599090909094,1/24/20,27.87878787878788
